measurement_sites,radius,success,max_violation,min_demand_viol,objective,solver_status,best_bound,output_dir
['4'],0.0,True,0.0,0.10067255632781982,0.0,HxSolutionStatus.OPTIMAL,,data/Alperovits/89970d96/4
['6'],0.0,True,0.0,0.10067255632781982,0.0,HxSolutionStatus.OPTIMAL,,data/Alperovits/89970d96/6
['2'],0.0,True,0.0,0.10067255632781982,0.0,HxSolutionStatus.OPTIMAL,,data/Alperovits/89970d96/2
['1'],2.7755575615628914e-17,True,0.0,0.10067255632781982,7.703719777548943e-34,HxSolutionStatus.OPTIMAL,,data/Alperovits/89970d96/1
['3'],0.0005984580100762254,True,0.0,0.10067255632781982,3.581519898243955e-07,HxSolutionStatus.OPTIMAL,,data/Alperovits/89970d96/3
['5'],0.0006839520163128425,True,0.0,0.10067255632781982,4.6779036061840273e-07,HxSolutionStatus.OPTIMAL,,data/Alperovits/89970d96/5
