measurement_sites,radius,success,max_violation,min_demand_viol,objective,solver_status,best_bound,output_dir
"['1', '6']",0.20280617946162222,True,0.0,0.06759691193224462,0.04113034642781972,HxSolutionStatus.OPTIMAL,,data/Alperovits-B-batch-20260401-112751/1_6
"['4', '5']",0.21706092804365917,True,0.0,0.05217985314666232,0.047115446483174575,HxSolutionStatus.OPTIMAL,,data/Alperovits-B-batch-20260401-112751/4_5
"['1', '5']",0.22523344000231874,True,0.0,0.07321255291676246,0.05073010249527811,HxSolutionStatus.OPTIMAL,,data/Alperovits-B-batch-20260401-112751/1_5
"['3', '5']",0.22714370463413575,True,0.0,0.08446862810939523,0.0515942625549195,HxSolutionStatus.OPTIMAL,,data/Alperovits-B-batch-20260401-112751/3_5
"['5', '6']",0.22747408269949476,True,0.0,0.07321256500045595,0.051744458299976585,HxSolutionStatus.OPTIMAL,,data/Alperovits-B-batch-20260401-112751/5_6
"['1', '4']",0.23402984056566134,True,0.0,0.05628593103790283,0.05476996627518886,HxSolutionStatus.OPTIMAL,,data/Alperovits-B-batch-20260401-112751/1_4
"['3', '4']",0.23702015615045893,True,0.0,0.07969959288989684,0.05617855442158794,HxSolutionStatus.OPTIMAL,,data/Alperovits-B-batch-20260401-112751/3_4
"['4', '6']",0.247362132819811,True,0.0,0.05628641678600285,0.06118802475316584,HxSolutionStatus.OPTIMAL,,data/Alperovits-B-batch-20260401-112751/4_6
"['3', '6']",0.2478634073935248,True,0.0,0.047409991750879926,0.061436268724728446,HxSolutionStatus.OPTIMAL,,data/Alperovits-B-batch-20260401-112751/3_6
"['1', '3']",0.24806253606868606,True,0.0,0.06737754258342368,0.06153502180082818,HxSolutionStatus.OPTIMAL,,data/Alperovits-B-batch-20260401-112751/1_3
['5'],0.2500480422517712,True,0.0,0.07321257942168072,0.06252402343394356,HxSolutionStatus.OPTIMAL,,data/Alperovits-B-batch-20260401-112751/5
"['2', '5']",0.2500480422517712,True,0.0,0.07321257942168072,0.06252402343394356,HxSolutionStatus.OPTIMAL,,data/Alperovits-B-batch-20260401-112751/2_5
['1'],0.25321803068031334,True,0.0,0.06007819335784634,0.06411937106161614,HxSolutionStatus.OPTIMAL,,data/Alperovits-B-batch-20260401-112751/1
"['1', '2']",0.2532180313108989,True,0.0,0.06007702641908971,0.06411937138096734,HxSolutionStatus.OPTIMAL,,data/Alperovits-B-batch-20260401-112751/1_2
"['2', '3']",0.25346142052132614,True,0.0,0.05631304989234301,0.06424269169268852,HxSolutionStatus.OPTIMAL,,data/Alperovits-B-batch-20260401-112751/2_3
['3'],0.25346142052132614,True,0.0,0.05631304989234301,0.06424269169268852,HxSolutionStatus.OPTIMAL,,data/Alperovits-B-batch-20260401-112751/3
['6'],0.25561710593028997,True,0.0,0.05628593103790283,0.06534010484417707,HxSolutionStatus.OPTIMAL,,data/Alperovits-B-batch-20260401-112751/6
"['2', '6']",0.25561710593028997,True,0.0,0.05628593103790283,0.06534010484417707,HxSolutionStatus.OPTIMAL,,data/Alperovits-B-batch-20260401-112751/2_6
"['2', '4']",0.25935161746400653,True,0.0,0.056325826396672024,0.06726326148119639,HxSolutionStatus.OPTIMAL,,data/Alperovits-B-batch-20260401-112751/2_4
['4'],0.2593559193429068,True,0.0,0.056286416515721,0.06726549289820437,HxSolutionStatus.OPTIMAL,,data/Alperovits-B-batch-20260401-112751/4
[],0.260753531832919,True,0.0,0.0562875106303016,0.06799240436334111,HxSolutionStatus.OPTIMAL,,data/Alperovits-B-batch-20260401-112751/none
['2'],0.2607582820083812,True,0.0,0.05628595002555878,0.06799488163596243,HxSolutionStatus.OPTIMAL,,data/Alperovits-B-batch-20260401-112751/2
