measurement_sites,radius,success,max_violation,min_demand_viol,objective,solver_status,best_bound,output_dir
['3'],0.0,False,0.0,0.09999896423721313,0.0,HxSolutionStatus.INCONSISTENT,,data/Alperovits/f51093fe/3
['4'],0.0,False,0.0,0.09999896423721313,0.0,HxSolutionStatus.INCONSISTENT,,data/Alperovits/f51093fe/4
['6'],0.0,False,0.0,0.09999896423721313,0.0,HxSolutionStatus.INCONSISTENT,,data/Alperovits/f51093fe/6
['1'],0.0,False,0.0,0.09999896423721313,0.0,HxSolutionStatus.INCONSISTENT,,data/Alperovits/f51093fe/1
['5'],0.0,False,0.0,0.09999896423721313,0.0,HxSolutionStatus.INCONSISTENT,,data/Alperovits/f51093fe/5
['2'],0.0,False,0.0,0.09999896423721313,0.0,HxSolutionStatus.INCONSISTENT,,data/Alperovits/f51093fe/2
