measurement_sites,radius,success,max_violation,min_demand_viol,objective,solver_status,best_bound,output_dir
['5'],0.6200861459804132,True,0.0,9.834090773939605e-10,0.3845068284368424,HxSolutionStatus.OPTIMAL,,data/Alperovits-B-batch-20260401-112551/5
['4'],0.6319632402440579,True,0.0,9.33656181146648e-10,0.39937753701976875,HxSolutionStatus.OPTIMAL,,data/Alperovits-B-batch-20260401-112551/4
['3'],0.6514501218981438,True,0.0,2.3494872465224904e-08,0.4243872613211064,HxSolutionStatus.OPTIMAL,,data/Alperovits-B-batch-20260401-112551/3
['1'],0.6516899589316439,True,0.0,2.2919957349710574e-08,0.4246998025723277,HxSolutionStatus.OPTIMAL,,data/Alperovits-B-batch-20260401-112551/1
['6'],0.6731610257281031,True,0.0,0.002273946634778452,0.4531457665593119,HxSolutionStatus.OPTIMAL,,data/Alperovits-B-batch-20260401-112551/6
['2'],0.6739239164637488,True,0.0,1.8440736640579307e-07,0.4541734451818379,HxSolutionStatus.OPTIMAL,,data/Alperovits-B-batch-20260401-112551/2
[],0.6739239164637488,True,0.0,1.8440736640579307e-07,0.4541734451818379,HxSolutionStatus.OPTIMAL,,data/Alperovits-B-batch-20260401-112551/none
