measurement_sites,radius,success,max_violation,min_demand_viol,objective,solver_status,best_bound,output_dir
['5'],0.10045491447730358,True,0.0,0.08914773653615235,0.010091189842642375,HxSolutionStatus.OPTIMAL,,data/Alperovits-B-batch-20260401-112441/5
['1'],0.10132287996114565,True,0.0,0.08501630829425608,0.010266326003620733,HxSolutionStatus.OPTIMAL,,data/Alperovits-B-batch-20260401-112441/1
['3'],0.1014386673771528,True,0.0,0.08359729153835718,0.010289803239252644,HxSolutionStatus.OPTIMAL,,data/Alperovits-B-batch-20260401-112441/3
['6'],0.10205161752386845,True,0.0,0.08286682205330134,0.010414532639237934,HxSolutionStatus.OPTIMAL,,data/Alperovits-B-batch-20260401-112441/6
['4'],0.10354938877479855,True,0.0,0.08286854005660851,0.010722475915634376,HxSolutionStatus.OPTIMAL,,data/Alperovits-B-batch-20260401-112441/4
['2'],0.10441986962522147,True,0.0,0.08286683304431006,0.010903509172548247,HxSolutionStatus.OPTIMAL,,data/Alperovits-B-batch-20260401-112441/2
[],0.10441986962522147,True,0.0,0.08286683304431006,0.010903509172548247,HxSolutionStatus.OPTIMAL,,data/Alperovits-B-batch-20260401-112441/none
